X,Y
0,7.982744357
0.01001001001,9.114655157
0.02002002002,7.073146442
0.03003003003,6.405553544
0.04004004004,6.800307724
0.05005005005,8.341184376
0.06006006006,7.127515761
0.07007007007,4.346919011
0.08008008008,7.550570296
0.09009009009,7.652054242
0.1001001001,7.264958893
0.1101101101,9.592570168
0.1201201201,7.502189456
0.1301301301,6.399595629
0.1401401401,8.998454812
0.1501501502,8.180630584
0.1601601602,7.170538875
0.1701701702,7.36558115
0.1801801802,8.399649843
0.1901901902,7.743679297
0.2002002002,6.344456677
0.2102102102,6.817138165
0.2202202202,6.389072877
0.2302302302,6.41274591
0.2402402402,8.054932715
0.2502502503,7.784089426
0.2602602603,6.694475395
0.2702702703,8.329929168
0.2802802803,7.546133737
0.2902902903,6.122970496
0.3003003003,7.094347001
0.3103103103,9.012934275
0.3203203203,9.023768024
0.3303303303,8.664872034
0.3403403403,8.51484927
0.3503503504,6.512539839
0.3603603604,6.431434215
0.3703703704,6.949380252
0.3803803804,6.477976336
0.3903903904,8.273515542
0.4004004004,7.294283437
0.4104104104,7.430843901
0.4204204204,7.652223661
0.4304304304,8.922258498
0.4404404404,8.599163711
0.4504504505,8.286552238
0.4604604605,7.270804785
0.4704704705,7.606465085
0.4804804805,7.047173669
0.4904904905,8.792966123
0.5005005005,9.20129352
0.5105105105,8.12209372
0.5205205205,7.300559692
0.5305305305,9.931593005
0.5405405405,9.20317196
0.5505505506,8.38533967
0.5605605606,8.703600422
0.5705705706,8.418897378
0.5805805806,7.734915174
0.5905905906,8.888152449
0.6006006006,9.614517703
0.6106106106,8.678005455
0.6206206206,8.870923764
0.6306306306,7.725840178
0.6406406406,7.571052753
0.6506506507,9.931625351
0.6606606607,10.76407534
0.6706706707,10.19569236
0.6806806807,8.15800002
0.6906906907,7.554850479
0.7007007007,8.80461924
0.7107107107,8.355783729
0.7207207207,9.055427648
0.7307307307,10.51304482
0.7407407407,7.760169231
0.7507507508,7.772469421
0.7607607608,9.326263141
0.7707707708,9.472627256
0.7807807808,8.22250544
0.7907907908,10.20624501
0.8008008008,9.307935278
0.8108108108,9.076284994
0.8208208208,8.803482248
0.8308308308,9.54178011
0.8408408408,8.173053087
0.8508508509,9.060446496
0.8608608609,7.371916991
0.8708708709,8.703585602
0.8808808809,9.079346349
0.8908908909,8.918960054
0.9009009009,9.6437075
0.9109109109,7.160667348
0.9209209209,9.521190931
0.9309309309,11.38143865
0.9409409409,9.157126211
0.950950951,8.015378726
0.960960961,7.537263354
0.970970971,9.12134898
0.980980981,9.317455145
0.990990991,9.529715928
1.001001001,8.397618143
1.011011011,9.3906
1.021021021,9.397649487
1.031031031,9.610674049
1.041041041,8.695498126
1.051051051,9.922231103
1.061061061,9.574216669
1.071071071,8.536827831
1.081081081,9.856557425
1.091091091,9.182762766
1.101101101,10.36656096
1.111111111,8.921056643
1.121121121,10.45884588
1.131131131,6.841170613
1.141141141,9.774805273
1.151151151,9.530199537
1.161161161,9.295582745
1.171171171,9.919098634
1.181181181,7.723077819
1.191191191,9.024567841
1.201201201,9.412757516
1.211211211,9.29526781
1.221221221,9.746760219
1.231231231,10.97639142
1.241241241,7.726497189
1.251251251,10.03555743
1.261261261,10.60807384
1.271271271,9.523167533
1.281281281,7.892197143
1.291291291,9.794401971
1.301301301,10.03780587
1.311311311,9.365595189
1.321321321,9.375631382
1.331331331,8.379752362
1.341341341,8.446159494
1.351351351,8.080357792
1.361361361,8.502852558
1.371371371,9.461332398
1.381381381,10.05116682
1.391391391,10.16371303
1.401401401,10.38641122
1.411411411,11.15362747
1.421421421,9.602610019
1.431431431,10.49865624
1.441441441,10.18868162
1.451451451,9.932186278
1.461461461,9.247719521
1.471471471,8.872000406
1.481481481,8.946868893
1.491491491,8.323113952
1.501501502,9.177753948
1.511511512,8.631647012
1.521521522,9.510989341
1.531531532,8.590525831
1.541541542,10.89243898
1.551551552,9.927138075
1.561561562,9.693164044
1.571571572,8.591677265
1.581581582,11.26239786
1.591591592,11.87628999
1.601601602,9.851763093
1.611611612,10.12928042
1.621621622,10.2119242
1.631631632,9.995911044
1.641641642,11.43887318
1.651651652,9.873797252
1.661661662,8.43858566
1.671671672,9.844801745
1.681681682,10.2844971
1.691691692,9.885420677
1.701701702,8.480770151
1.711711712,9.58691388
1.721721722,10.2498034
1.731731732,10.34890888
1.741741742,8.874505395
1.751751752,9.307052154
1.761761762,9.489359223
1.771771772,11.61379694
1.781781782,8.99512188
1.791791792,10.16083958
1.801801802,10.7759814
1.811811812,10.44032081
1.821821822,13.22598991
1.831831832,11.42391706
1.841841842,10.93452524
1.851851852,10.2288377
1.861861862,9.315892245
1.871871872,9.795046567
1.881881882,10.81199932
1.891891892,10.41726018
1.901901902,10.51796515
1.911911912,10.16514264
1.921921922,10.49138131
1.931931932,9.771339891
1.941941942,10.170521
1.951951952,10.22376819
1.961961962,11.22731946
1.971971972,9.389140566
1.981981982,9.974411945
1.991991992,11.5629
2.002002002,12.52711849
2.012012012,13.2320308
2.022022022,10.33981971
2.032032032,11.09462005
2.042042042,12.27335061
2.052052052,10.43066352
2.062062062,11.01924998
2.072072072,12.56641842
2.082082082,10.10638512
2.092092092,10.9795268
2.102102102,11.90427165
2.112112112,9.034397518
2.122122122,11.10024351
2.132132132,11.43983211
2.142142142,11.24229443
2.152152152,11.57049779
2.162162162,11.99526812
2.172172172,10.66781364
2.182182182,10.26672507
2.192192192,10.48533918
2.202202202,10.73342365
2.212212212,11.68858012
2.222222222,11.47277684
2.232232232,11.91291226
2.242242242,10.78948572
2.252252252,12.0153519
2.262262262,11.3757711
2.272272272,9.636413024
2.282282282,11.28592867
2.292292292,11.14888234
2.302302302,10.79878372
2.312312312,10.48103902
2.322322322,13.02188734
2.332332332,13.93639904
2.342342342,12.51290166
2.352352352,11.34335589
2.362362362,12.13757476
2.372372372,12.20516927
2.382382382,13.01291663
2.392392392,13.17691764
2.402402402,11.36236637
2.412412412,12.74118002
2.422422422,13.7395189
2.432432432,9.405395466
2.442442442,12.41717074
2.452452452,11.79466323
2.462462462,12.53593921
2.472472472,12.53696247
2.482482482,11.82641696
2.492492492,12.17031178
2.502502503,13.66471916
2.512512513,11.99876349
2.522522523,11.62469152
2.532532533,10.71173955
2.542542543,11.80529167
2.552552553,11.64264114
2.562562563,11.57892335
2.572572573,11.90391816
2.582582583,12.32785298
2.592592593,11.71804042
2.602602603,12.59846617
2.612612613,11.62733248
2.622622623,13.07684055
2.632632633,13.28625941
2.642642643,11.9889701
2.652652653,11.80441753
2.662662663,10.09577367
2.672672673,12.21076833
2.682682683,12.5648389
2.692692693,12.98099158
2.702702703,10.54813127
2.712712713,13.35824353
2.722722723,12.86542761
2.732732733,13.86145873
2.742742743,13.17958199
2.752752753,11.46171414
2.762762763,11.97203628
2.772772773,12.13148202
2.782782783,11.94174478
2.792792793,13.01464045
2.802802803,13.06051767
2.812812813,11.83721659
2.822822823,11.48244422
2.832832833,12.68004953
2.842842843,12.98567022
2.852852853,15.40047237
2.862862863,13.31592021
2.872872873,13.21243014
2.882882883,13.29235374
2.892892893,11.83785768
2.902902903,13.10110271
2.912912913,10.96088464
2.922922923,14.04643155
2.932932933,14.76591294
2.942942943,13.0866005
2.952952953,14.52258768
2.962962963,14.5176577
2.972972973,11.62343475
2.982982983,12.85132357
2.992992993,13.58331215
3.003003003,13.19591405
3.013013013,13.1771342
3.023023023,11.03075633
3.033033033,12.44376327
3.043043043,13.93594507
3.053053053,13.66380212
3.063063063,12.56757625
3.073073073,13.17825314
3.083083083,14.3080468
3.093093093,12.72770422
3.103103103,14.24989389
3.113113113,14.02642125
3.123123123,13.18369104
3.133133133,13.06299246
3.143143143,15.33496802
3.153153153,13.69194258
3.163163163,13.89870443
3.173173173,12.3406344
3.183183183,12.15853604
3.193193193,14.64107625
3.203203203,12.75284604
3.213213213,12.95107141
3.223223223,12.99166481
3.233233233,12.92724559
3.243243243,11.9786707
3.253253253,13.85888595
3.263263263,12.20877366
3.273273273,13.88737474
3.283283283,13.59751761
3.293293293,12.78451712
3.303303303,14.70111415
3.313313313,15.15149612
3.323323323,14.76046771
3.333333333,14.08513645
3.343343343,11.09692216
3.353353353,14.08326414
3.363363363,15.4618074
3.373373373,12.31683512
3.383383383,12.84882117
3.393393393,15.22043776
3.403403403,13.68959251
3.413413413,12.94413941
3.423423423,14.4404596
3.433433433,13.37176549
3.443443443,13.80443946
3.453453453,14.50595245
3.463463463,13.00699087
3.473473473,12.81779163
3.483483483,12.85068052
3.493493493,13.54492417
3.503503504,12.155084
3.513513514,14.43247132
3.523523524,13.07673058
3.533533534,13.62668324
3.543543544,12.68828336
3.553553554,15.35176725
3.563563564,15.59241436
3.573573574,11.48620748
3.583583584,12.97065616
3.593593594,14.12394746
3.603603604,13.41550441
3.613613614,13.74099416
3.623623624,15.67336904
3.633633634,13.18797848
3.643643644,13.33041337
3.653653654,13.10592268
3.663663664,13.08970806
3.673673674,13.59148591
3.683683684,14.58783124
3.693693694,14.73579345
3.703703704,13.12089242
3.713713714,16.16320168
3.723723724,14.38168987
3.733733734,13.78184546
3.743743744,13.07697215
3.753753754,12.74311339
3.763763764,15.32915854
3.773773774,15.14618839
3.783783784,14.80405424
3.793793794,14.36061877
3.803803804,14.90086052
3.813813814,14.92781708
3.823823824,13.76822593
3.833833834,16.04964257
3.843843844,14.73813819
3.853853854,16.91209084
3.863863864,16.25132871
3.873873874,14.14223681
3.883883884,13.45419288
3.893893894,14.30111992
3.903903904,15.97781271
3.913913914,15.82288186
3.923923924,16.08760336
3.933933934,16.3227284
3.943943944,16.89759796
3.953953954,15.12521924
3.963963964,15.45130568
3.973973974,15.45328001
3.983983984,16.70695144
3.993993994,15.06680479
4.004004004,15.72276191
4.014014014,14.86767297
4.024024024,15.50802754
4.034034034,17.71413191
4.044044044,15.13043635
4.054054054,15.01439016
4.064064064,14.91015337
4.074074074,15.80481316
